case,variant,trial,phase,operations,elapsed_ms,p50_us,p95_us,p99_us,ops_per_second,allocations,live_byte_delta,peak_live_bytes,persisted_bytes,recall_at_10
euclidean-128,baseline,1,query_reloaded,100,12.371,122.584,130.375,137.625,8083.6,100,0,7603568,0,0.99750
euclidean-128,baseline,1,remove,199,10.588,41.542,120.833,163.333,18795.7,51975,-589616,4432544,0,NaN
euclidean-128,baseline,1,query_deleted,100,10.786,104.709,121.500,129.709,9271.1,100,0,3358960,0,0.99750
euclidean-128,baseline,1,reinsert,199,116.519,525.833,1011.625,1285.709,1707.9,74723,553472,4616752,0,NaN
euclidean-128,baseline,1,query_reinserted,100,12.944,127.458,137.250,170.667,7725.5,100,0,3912432,0,0.99750
euclidean-128,baseline,2,distance_mixed,10000,2.231,0.208,0.209,0.250,4481375.0,0,0,824093,0,NaN
euclidean-128,baseline,2,build,1000,538.458,534.458,966.292,1281.375,1857.2,397903,3236744,4613837,0,NaN
euclidean-128,baseline,2,query,100,12.532,125.458,130.708,133.000,7979.5,100,0,3962621,0,0.99750
euclidean-128,baseline,2,flush,1000,1.416,1415.583,1415.583,1415.583,706422.7,2207,925934,4930431,878308,NaN
euclidean-128,baseline,2,load,1000,7.936,7935.709,7935.709,7935.709,126012.7,20996,2714650,7757275,878308,NaN
euclidean-128,baseline,2,query_reloaded,100,13.180,130.875,145.083,150.458,7587.5,100,0,7603568,0,0.99750
euclidean-128,baseline,2,remove,199,11.185,44.000,124.958,196.958,17791.2,51975,-589616,4432544,0,NaN
euclidean-128,baseline,2,query_deleted,100,10.285,102.250,107.875,111.250,9722.9,100,0,3358960,0,0.99750
euclidean-128,baseline,2,reinsert,199,116.956,542.250,1042.375,1271.625,1701.5,74723,553472,4616752,0,NaN
euclidean-128,baseline,2,query_reinserted,100,12.946,128.959,135.208,138.125,7724.2,100,0,3912432,0,0.99750
cosine-384,current,0,distance_mixed,10000,6.702,0.625,0.708,0.750,1492166.3,0,0,2463005,0,NaN
cosine-384,current,0,build,1000,1020.619,1032.833,1832.208,2280.125,979.8,279224,4051776,6466269,0,NaN
cosine-384,current,0,query,100,22.422,224.125,228.542,229.875,4459.9,100,0,6416565,0,1.00000
cosine-384,current,0,flush,1000,2.220,2219.667,2219.667,2219.667,450518.0,2207,1701049,8159615,1653005,NaN
cosine-384,current,0,load,1000,9.120,9119.792,9119.792,9119.792,109651.6,15318,3348154,11568628,1653005,NaN
cosine-384,current,0,query_reloaded,100,23.734,236.459,244.750,251.291,4213.3,100,0,11466129,0,1.00000
cosine-384,current,0,remove,199,11.919,58.084,82.417,105.208,16696.4,53801,-667936,6528382,0,NaN
cosine-384,current,0,query_deleted,100,18.348,183.375,186.375,187.750,5450.2,100,0,5734998,0,1.00000
cosine-384,current,0,reinsert,199,145.760,674.042,1040.541,1256.292,1365.3,57124,634912,6462718,0,NaN
cosine-384,current,0,query_reinserted,100,22.742,227.333,230.667,233.458,4397.1,100,0,6369910,0,1.00000
cosine-384,current,1,distance_mixed,10000,6.338,0.625,0.625,0.667,1577722.6,0,0,2463005,0,NaN
cosine-384,current,1,build,1000,994.543,1000.792,1814.958,2243.792,1005.5,279224,4051776,6466269,0,NaN
cosine-384,current,1,query,100,22.422,224.166,228.041,230.333,4459.9,100,0,6416565,0,1.00000
cosine-384,current,1,flush,1000,2.140,2140.084,2140.084,2140.084,467271.4,2207,1701049,8159615,1653005,NaN
cosine-384,current,1,load,1000,9.098,9098.208,9098.208,9098.208,109911.8,15318,3348154,11568628,1653005,NaN
cosine-384,current,1,query_reloaded,100,22.426,224.375,227.583,230.667,4459.1,100,0,11466129,0,1.00000
cosine-384,current,1,remove,199,10.708,52.375,71.125,81.542,18584.2,53801,-667936,6528382,0,NaN
cosine-384,current,1,query_deleted,100,18.306,182.792,186.125,188.042,5462.8,100,0,5734998,0,1.00000
cosine-384,current,1,reinsert,199,139.332,656.834,951.250,1149.042,1428.2,57124,634912,6462718,0,NaN
cosine-384,current,1,query_reinserted,100,22.781,227.667,231.042,233.333,4389.6,100,0,6369910,0,1.00000
cosine-384,current,2,distance_mixed,10000,6.335,0.625,0.625,0.667,1578417.6,0,0,2463005,0,NaN
cosine-384,current,2,build,1000,990.454,992.584,1782.917,2219.375,1009.6,279224,4051776,6466269,0,NaN
cosine-384,current,2,query,100,22.065,220.375,224.125,227.416,4532.0,100,0,6416565,0,1.00000
cosine-384,current,2,flush,1000,2.141,2141.000,2141.000,2141.000,467071.5,2207,1701049,8159615,1653005,NaN
cosine-384,current,2,load,1000,9.034,9034.458,9034.458,9034.458,110687.3,15318,3348154,11568628,1653005,NaN
cosine-384,current,2,query_reloaded,100,22.476,224.459,228.541,230.458,4449.3,100,0,11466129,0,1.00000
cosine-384,current,2,remove,199,10.775,51.709,71.500,82.417,18468.2,53801,-667936,6528382,0,NaN
cosine-384,current,2,query_deleted,100,17.968,179.417,183.708,188.209,5565.5,100,0,5734998,0,1.00000
cosine-384,current,2,reinsert,199,139.953,650.959,989.791,1174.500,1421.9,57124,634912,6462718,0,NaN
cosine-384,current,2,query_reinserted,100,22.756,227.416,230.333,234.791,4394.5,100,0,6369910,0,1.00000
cosine-768-reconnect,current,0,distance_mixed,10000,12.752,1.250,1.292,1.375,784211.2,0,0,4665373,0,NaN
cosine-768-reconnect,current,0,build,1000,1870.000,1853.958,3522.125,4601.458,534.8,278826,4782944,9440069,0,NaN
cosine-768-reconnect,current,0,query,100,39.845,399.917,418.250,422.667,2509.7,100,0,9350101,0,0.99750
cosine-768-reconnect,current,0,flush,1000,3.523,3523.459,3523.459,3523.459,283812.0,2207,2853047,12244949,2804803,NaN
cosine-768-reconnect,current,0,load,1000,14.233,14232.667,14232.667,14232.667,70260.9,15327,4120506,16426514,2804803,NaN
cosine-768-reconnect,current,0,query_reloaded,100,38.616,383.542,412.958,428.959,2589.6,100,0,16324015,0,0.99750
cosine-768-reconnect,current,0,remove,199,4573.985,22716.750,29075.500,31125.208,43.5,55456,2116528,13925374,0,NaN
cosine-768-reconnect,current,0,query_deleted,100,30.153,300.958,306.625,310.167,3316.4,100,0,11453198,0,0.99750
cosine-768-reconnect,current,0,reinsert,199,432.128,1773.375,4476.417,5231.833,460.5,57173,804576,12351230,0,NaN
cosine-768-reconnect,current,0,query_reinserted,100,37.266,371.500,382.583,384.709,2683.4,100,0,12257774,0,0.99750
cosine-768-reconnect,current,1,distance_mixed,10000,12.271,1.208,1.250,1.334,814926.7,0,0,4665373,0,NaN
cosine-768-reconnect,current,1,build,1000,1763.915,1742.709,3330.584,4301.500,566.9,278826,4782944,9440069,0,NaN
cosine-768-reconnect,current,1,query,100,36.719,366.417,371.291,402.041,2723.4,100,0,9350101,0,0.99750
cosine-768-reconnect,current,1,flush,1000,3.314,3313.875,3313.875,3313.875,301761.5,2207,2853047,12244949,2804803,NaN
cosine-768-reconnect,current,1,load,1000,13.716,13715.500,13715.500,13715.500,72910.2,15327,4120506,16426514,2804803,NaN
cosine-768-reconnect,current,1,query_reloaded,100,36.520,364.625,370.625,374.291,2738.2,100,0,16324015,0,0.99750
cosine-768-reconnect,current,1,remove,199,4473.675,22449.542,27127.917,29838.000,44.5,55456,2116528,13925374,0,NaN
cosine-768-reconnect,current,1,query_deleted,100,30.046,300.250,304.500,308.792,3328.2,100,0,11453198,0,0.99750
cosine-768-reconnect,current,1,reinsert,199,433.367,1811.833,4433.584,5151.459,459.2,57173,804576,12351230,0,NaN
cosine-768-reconnect,current,1,query_reinserted,100,36.875,368.292,373.250,379.666,2711.9,100,0,12257774,0,0.99750
cosine-768-reconnect,current,2,distance_mixed,10000,11.951,1.167,1.209,1.250,836758.8,0,0,4665373,0,NaN
cosine-768-reconnect,current,2,build,1000,1758.827,1734.833,3343.291,4167.750,568.6,278826,4782944,9440069,0,NaN
cosine-768-reconnect,current,2,query,100,36.972,366.500,383.292,412.333,2704.8,100,0,9350101,0,0.99750
cosine-768-reconnect,current,2,flush,1000,3.398,3398.167,3398.167,3398.167,294276.3,2207,2853047,12244949,2804803,NaN
cosine-768-reconnect,current,2,load,1000,13.603,13602.625,13602.625,13602.625,73515.2,15327,4120506,16426514,2804803,NaN
cosine-768-reconnect,current,2,query_reloaded,100,36.442,364.458,368.250,369.625,2744.1,100,0,16324015,0,0.99750
cosine-768-reconnect,current,2,remove,199,4463.120,22181.542,27430.916,29242.500,44.6,55456,2116528,13925374,0,NaN
cosine-768-reconnect,current,2,query_deleted,100,30.203,301.125,309.209,311.000,3311.0,100,0,11453198,0,0.99750
cosine-768-reconnect,current,2,reinsert,199,477.605,1991.042,4921.375,5929.584,416.7,57173,804576,12351230,0,NaN
cosine-768-reconnect,current,2,query_reinserted,100,39.083,392.500,398.875,405.250,2558.7,100,0,12257774,0,0.99750
euclidean-128,current,0,distance_mixed,10000,2.180,0.208,0.209,0.250,4588033.6,0,0,824093,0,NaN
euclidean-128,current,0,build,1000,498.384,495.542,862.584,1073.459,2006.5,278368,3744432,4520933,0,NaN
euclidean-128,current,0,query,100,13.559,134.917,140.416,156.125,7375.3,100,0,4470309,0,1.00000
euclidean-128,current,0,flush,1000,1.482,1481.583,1481.583,1481.583,674953.7,2207,925985,5438711,878359,NaN
euclidean-128,current,0,load,1000,6.525,6525.334,6525.334,6525.334,153248.9,14904,2713642,8212510,878359,NaN
euclidean-128,current,0,query_reloaded,100,13.364,133.208,138.125,147.084,7482.7,100,0,8110299,0,1.00000
euclidean-128,current,0,remove,199,11.137,44.209,129.333,190.875,17867.6,52037,-574216,4903744,0,NaN
euclidean-128,current,0,query_deleted,100,10.943,104.625,128.584,142.208,9138.1,100,0,3882048,0,1.00000
euclidean-128,current,0,reinsert,199,108.358,516.167,905.708,1196.583,1836.5,57019,549664,4523224,0,NaN
euclidean-128,current,0,query_reinserted,100,13.909,138.584,143.208,145.542,7189.5,100,0,4431712,0,0.99750
euclidean-128,current,1,distance_mixed,10000,2.315,0.208,0.209,0.250,4319654.4,0,0,824093,0,NaN
euclidean-128,current,1,build,1000,507.515,499.458,897.625,1095.208,1970.4,278368,3744432,4520933,0,NaN
euclidean-128,current,1,query,100,13.176,131.791,134.917,135.875,7589.5,100,0,4470309,0,1.00000
euclidean-128,current,1,flush,1000,1.420,1419.792,1419.792,1419.792,704328.5,2207,925985,5438711,878359,NaN
